taxonKey	scientificName	acceptedTaxonKey	acceptedScientificName	numberOfOccurrences	taxonRank	taxonomicStatus	kingdom	kingdomKey	phylum	phylumKey	class	classKey	order	orderKey	family	familyKey	genus	genusKey	species	speciesKey	iucnRedListCategory
5232118	Glaucidium brasilianum (J.F.Gmelin, 1788)	5232118	Glaucidium brasilianum (J.F.Gmelin, 1788)	8	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Strigiformes	1450	Strigidae	9348	Glaucidium	2497151	Glaucidium brasilianum	5232118	LC
5227993	Lophura leucomelanos (Latham, 1790)	5227993	Lophura leucomelanos (Latham, 1790)	13	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Galliformes	723	Phasianidae	9331	Lophura	2473973	Lophura leucomelanos	5227993	LC
2498154	Anas americana J.F.Gmelin, 1789	2498155	Mareca americana (J.F.Gmelin, 1789)	7224	SPECIES	SYNONYM	Animalia	1	Chordata	44	Aves	212	Anseriformes	1108	Anatidae	2986	Mareca	2498314	Mareca americana	2498155	
2490363	Spiza americana (J.F.Gmelin, 1789)	2490363	Spiza americana (J.F.Gmelin, 1789)	55	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Passeriformes	729	Cardinalidae	9285	Spiza	2490362	Spiza americana	2490363	LC
2491259	Pipilo crissalis (Vigors, 1839)	7341600	Melozone crissalis (Vigors, 1839)	11869	SPECIES	SYNONYM	Animalia	1	Chordata	44	Aves	212	Passeriformes	729	Passerellidae	9410667	Melozone	2491170	Melozone crissalis	7341600	
2491122	Ammodramus bairdii (Audubon, 1844)	10783710	Centronyx bairdii (Audubon, 1844)	8	SPECIES	SYNONYM	Animalia	1	Chordata	44	Aves	212	Passeriformes	729	Passerellidae	9410667	Centronyx	4852597	Centronyx bairdii	10783710	
5230852	Passerina ciris (Linnaeus, 1758)	5230852	Passerina ciris (Linnaeus, 1758)	1574	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Passeriformes	729	Cardinalidae	9285	Passerina	2490326	Passerina ciris	5230852	LC
2487783	Poecile rufescens (J.K.Townsend, 1837)	2487783	Poecile rufescens (J.K.Townsend, 1837)	15107	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Passeriformes	729	Paridae	9327	Poecile	2487782	Poecile rufescens	2487783	LC
2482065	Podiceps nigricollis C.L.Brehm, 1831	2482065	Podiceps nigricollis C.L.Brehm, 1831	901	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Podicipediformes	7191588	Podicipedidae	9338	Podiceps	2482049	Podiceps nigricollis	2482065	LC
2481240	Thalasseus sandvicensis (Latham, 1787)	2481240	Thalasseus sandvicensis (Latham, 1787)	126	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Charadriiformes	7192402	Laridae	9316	Thalasseus	9109074	Thalasseus sandvicensis	2481240	LC
